frame,id,x,y,yeni_id
0,1,515,572,1
1,1,511,572,1
2,1,516,571,1
3,1,514,571,1
4,1,518,570,1
5,1,536,567,1
6,1,546,567,1
7,1,553,567,1
8,1,558,567,1
9,1,564,567,1
10,1,571,567,1
11,1,570,566,1
12,1,566,566,1
13,1,563,566,1
14,1,560,566,1
15,1,555,566,1
16,1,550,567,1
17,1,542,567,1
18,1,537,567,1
19,1,531,567,1
20,1,524,567,1
21,1,517,568,1
22,1,518,568,1
23,1,517,569,1
24,1,517,569,1
25,1,516,569,1
26,1,515,569,1
27,1,514,569,1
28,1,512,570,1
29,1,511,570,1
30,1,509,570,1
31,1,508,571,1
32,1,507,571,1
33,1,506,572,1
34,1,506,572,1
35,1,505,572,1
36,1,505,572,1
37,1,504,572,1
38,1,505,572,1
39,1,505,572,1
40,1,505,572,1
41,1,504,572,1
42,1,505,572,1
43,1,505,572,1
44,1,505,572,1
45,1,506,572,1
46,1,506,572,1
47,1,506,572,1
48,1,506,572,1
49,1,506,572,1
50,1,506,572,1
51,1,507,572,1
52,1,507,572,1
53,1,507,572,1
54,1,508,572,1
55,1,509,572,1
56,1,509,571,1
57,1,509,571,1
58,1,509,571,1
59,1,510,571,1
60,1,510,572,1
61,1,510,572,1
62,1,508,573,1
63,1,509,573,1
64,1,507,574,1
65,1,506,575,1
66,1,507,575,1
67,1,506,576,1
68,1,504,576,1
69,1,505,575,1
70,1,505,575,1
71,1,507,574,1
72,1,508,575,1
73,1,510,581,1
74,1,508,590,1
75,1,506,602,1
76,1,505,614,1
77,1,504,630,1
78,1,498,644,1
79,1,491,660,1
80,1,485,675,1
81,1,478,688,1
82,1,476,699,1
83,1,471,706,1
84,1,466,709,1
85,1,459,711,1
86,1,448,711,1
88,1,433,711,1
89,1,448,710,1
90,1,449,710,1
91,1,450,710,1
100,1,406,713,1
101,1,404,713,1
115,1,408,713,1
116,1,412,712,1
117,1,412,711,1
118,1,413,711,1
119,1,410,711,1
122,1,411,711,1
126,1,414,711,1
127,1,412,712,1
128,1,412,712,1
129,1,413,712,1
130,1,413,711,1
131,1,415,711,1
132,1,413,711,1
133,1,415,711,1
134,1,407,711,1
135,1,412,711,1
136,1,408,711,1
137,1,411,712,1
138,1,415,712,1
139,1,416,710,1
140,1,417,711,1
141,1,417,710,1
142,1,413,710,1
143,1,412,710,1
144,1,412,710,1
145,1,413,710,1
146,1,416,710,1
147,1,418,710,1
148,1,421,708,1
149,1,425,708,1
150,1,426,708,1
151,1,428,708,1
152,1,434,708,1
153,1,439,708,1
154,1,453,708,1
155,1,453,708,1
156,1,454,708,1
157,1,457,707,1
158,1,480,703,1
159,1,495,699,1
160,1,496,692,1
161,1,505,681,1
162,1,499,670,1
163,1,496,657,1
164,1,492,651,1
165,1,492,650,1
166,1,492,650,1
167,1,494,650,1
168,1,497,651,1
169,1,497,651,1
170,1,495,651,1
171,1,496,651,1
172,1,495,651,1
173,1,499,650,1
174,1,498,641,1
175,1,500,629,1
176,1,503,615,1
177,1,506,603,1
178,1,507,593,1
179,1,507,580,1
180,1,507,572,1
181,1,509,570,1
182,1,508,570,1
183,1,508,570,1
184,1,509,569,1
185,1,512,568,1
186,1,516,568,1
187,1,523,568,1
188,1,523,568,1
189,1,529,568,1
190,1,540,566,1
193,1,550,567,1
194,1,549,564,1
197,1,554,552,1
198,1,557,545,1
199,1,565,546,1
200,1,576,541,1
201,1,594,540,1
202,1,606,542,1
203,1,608,541,1
204,1,601,542,1
