frame,id,class,x,y,width,height
0,1,person,1691.285888671875,882.799560546875,415.988525390625,1004.228759765625
0,2,person,1308.8553466796875,1051.947265625,539.327880859375,1037.2490234375
0,3,person,2185.7080078125,895.176025390625,509.1082763671875,934.07373046875
1,1,person,1696.35009765625,884.4096069335938,415.6810302734375,1002.9844970703125
1,2,person,1313.10888671875,1068.8046875,555.0791015625,1068.5701904296875
1,3,person,2193.881591796875,899.190185546875,512.9708251953125,940.8876953125
2,1,person,1699.8800048828125,886.4217529296875,415.848876953125,1002.2683715820312
2,2,person,1315.284912109375,1087.17529296875,569.5533447265625,1098.9180908203125
2,3,person,2202.884033203125,904.3765258789062,519.38037109375,952.4085693359375
3,1,person,1701.300537109375,889.7537841796875,417.0277099609375,1003.9375
3,2,person,1319.27880859375,1114.1390380859375,592.569091796875,1149.1884765625
3,3,person,2210.4189453125,906.8110961914062,522.703125,958.5633544921875
4,1,person,1702.9278564453125,891.422119140625,416.380615234375,1000.6015014648438
4,2,person,1322.4736328125,1130.2786865234375,601.5086669921875,1174.77197265625
4,3,person,2217.536376953125,935.5525512695312,549.8349609375,1010.8839111328125
5,1,person,1705.369873046875,894.367919921875,418.9649658203125,1004.4257202148438
5,2,person,1321.2606201171875,1139.7264404296875,602.4015502929688,1187.49951171875
5,3,person,2223.98828125,953.261962890625,566.39501953125,1045.133544921875
6,1,person,1707.943359375,894.8185424804688,417.4820556640625,997.3099365234375
6,2,person,1320.8427734375,1147.482177734375,600.1605834960938,1196.29736328125
6,3,person,2226.795654296875,963.6968994140625,574.4583740234375,1063.880126953125
7,1,person,1712.736572265625,902.4028930664062,423.3690185546875,1008.7796630859375
7,2,person,1321.07666015625,1149.363037109375,591.057861328125,1191.9041748046875
7,3,person,2227.4208984375,967.1564331054688,577.1932373046875,1072.5921630859375
8,1,person,1715.2069091796875,912.7677612304688,432.596435546875,1029.6019287109375
8,2,person,1322.8741455078125,1148.807373046875,582.13037109375,1188.1676025390625
8,3,person,2229.379150390625,961.7301025390625,571.4163818359375,1064.829345703125
9,1,person,1714.919921875,909.0299072265625,429.5494384765625,1020.554931640625
9,2,person,1322.320068359375,1150.1519775390625,571.9730224609375,1182.125244140625
9,3,person,2232.753173828125,971.1115112304688,578.3319091796875,1085.1451416015625
10,1,person,1715.364990234375,919.573974609375,436.7979736328125,1038.821044921875
10,2,person,1322.331787109375,1151.8448486328125,564.88720703125,1181.77001953125
10,3,person,2233.590087890625,974.580322265625,579.02978515625,1094.887939453125
