frame,id,x,y,width,height
113,1,629.59716796875,676.8944091796875,207.27227783203125,85.45391845703125
114,1,634.9996948242188,673.2899169921875,205.3197021484375,91.96368408203124
115,1,642.5185546875,669.866943359375,197.13446044921875,99.5609130859375
116,1,649.633544921875,665.7599487304688,197.22882080078125,107.639404296875
117,1,655.075439453125,661.7830200195312,199.07061767578125,116.1624755859375
118,1,662.07958984375,658.1473999023438,195.47686767578125,123.0814208984375
119,1,664.3705444335938,654.363037109375,196.0653076171875,130.56890869140625
120,1,662.9348754882812,650.4990234375,199.2264404296875,137.73260498046875
121,1,663.4522705078125,647.1812744140625,192.68121337890625,144.66143798828125
122,1,662.3646240234375,644.2168579101562,189.86700439453125,150.358642578125
123,1,664.0810546875,641.471923828125,186.42974853515625,156.10198974609375
124,1,666.216796875,638.708984375,185.65814208984372,161.7261962890625
125,1,668.628173828125,635.84130859375,184.52001953125,167.82916259765625
126,1,671.7805786132812,633.104248046875,179.97021484375,173.27752685546875
127,1,675.3300170898438,630.60498046875,177.5408935546875,177.94866943359375
128,1,678.8026123046875,628.130615234375,176.53167724609375,182.1124267578125
129,1,682.333251953125,625.7958374023438,176.0062255859375,185.8424072265625
130,1,687.097900390625,623.8192138671875,177.5159912109375,189.65020751953125
131,1,692.570556640625,622.26171875,179.032958984375,193.37554931640625
132,1,698.07080078125,620.405029296875,177.93701171875,196.68536376953125
133,1,702.9295654296875,618.7459106445312,177.93408203125,199.88818359375
134,1,707.485595703125,616.9498901367188,178.718505859375,202.6614990234375
135,1,710.7626953125,614.525634765625,180.20892333984372,206.48849487304688
136,1,712.825439453125,613.0211181640625,184.31201171875,210.5586853027344
137,1,712.4501342773438,611.5874633789062,192.0372314453125,214.88232421875
138,1,713.5472412109375,609.0814208984375,195.58001708984372,221.06008911132807
139,1,715.1923828125,606.6138916015625,198.16351318359372,226.11029052734372
140,1,716.2264404296875,603.6398315429688,201.60089111328125,230.95849609375
141,1,718.88916015625,602.06982421875,206.94171142578125,234.03546142578125
142,1,721.4625854492188,599.8207397460938,210.964599609375,237.96194458007807
143,1,725.1055908203125,598.190185546875,213.319580078125,240.3262634277344
144,1,728.5789794921875,597.2722778320312,218.36761474609372,242.0757751464844
145,1,732.67529296875,596.807373046875,225.63055419921875,242.47393798828125
146,1,736.2979736328125,596.884765625,234.38519287109372,243.16226196289065
147,1,739.9945068359375,596.6236572265625,244.74676513671875,243.39349365234372
148,1,747.9554443359375,595.6282958984375,263.6195068359375,245.1402282714844
149,1,769.5032958984375,595.8157348632812,280.14373779296875,247.11648559570312
150,1,789.4500732421875,595.162109375,290.41229248046875,248.84744262695312
151,1,806.4305419921875,593.356201171875,289.817138671875,250.4158935546875
152,1,820.4088134765625,591.8203125,276.4525146484375,251.65643310546875
153,1,835.722412109375,590.037109375,248.55517578125,253.66131591796875
154,1,846.6610107421875,589.3134155273438,226.67791748046875,254.96044921875
155,1,849.5330810546875,589.16796875,220.933837890625,255.78497314453125
156,1,847.5751953125,588.9746704101562,224.849609375,257.26025390625
157,1,843.0804443359375,588.8109130859375,233.83905029296875,259.6201171875
158,1,840.5948486328125,589.0672607421875,238.81036376953125,259.8392028808594
159,1,838.3038940429688,587.6309204101562,243.3922119140625,262.0599365234375
160,1,842.5601806640625,585.8004760742188,234.87969970703125,266.9385986328125
162,1,847.4069213867188,579.791015625,225.1861572265625,277.6205444335937
163,1,850.0177001953125,575.5848388671875,219.96466064453125,284.8113098144531
213,1,862.89404296875,569.4310302734375,194.0196533203125,297.12762451171875
214,1,862.14990234375,574.3305053710938,195.4931640625,288.102294921875
218,1,862.9501342773438,585.1748657226562,193.9619140625,265.3656005859375
219,1,862.4119873046875,588.6023559570312,194.74560546875,258.4318542480469
220,1,862.72265625,588.4353637695312,194.00238037109372,258.3135070800781
221,1,863.1741943359375,588.5718994140625,192.91748046875,257.8482666015625
222,1,857.130126953125,588.3706665039062,204.68048095703125,258.1054382324219
223,1,852.3331298828125,588.76513671875,212.0496826171875,257.19781494140625
224,1,844.5680541992188,588.989501953125,225.7188720703125,257.10546875
225,1,838.4302978515625,588.6451416015625,237.50439453125,258.4148864746094
226,1,832.84228515625,587.8567504882812,246.88262939453125,259.2066955566406
227,1,822.9009399414062,587.24951171875,252.331787109375,260.94976806640625
228,1,810.467041015625,586.7109985351562,241.92999267578125,263.11669921875
229,1,799.550048828125,586.0621948242188,233.53643798828125,264.7394714355469
230,1,789.80908203125,585.609130859375,233.23394775390625,266.0492553710937
231,1,785.4620361328125,585.72705078125,223.7083740234375,266.09234619140625
232,1,780.3696899414062,585.8109130859375,212.8404541015625,265.17657470703125
233,1,775.8756103515625,586.1299438476562,203.78594970703125,263.8919677734375
234,1,770.089111328125,586.30712890625,188.59002685546875,262.0908508300781
235,1,762.7999267578125,586.6307373046875,175.32989501953125,261.1054382324219
236,1,754.6431884765625,586.1585693359375,167.10308837890625,259.25421142578125
237,1,748.2803344726562,585.0820922851562,160.4866943359375,258.5498352050781
238,1,741.09912109375,585.4271850585938,151.62652587890625,259.9962158203125
239,1,732.5382080078125,585.723876953125,147.74237060546875,261.4668273925781
240,1,723.1593017578125,585.5387573242188,143.74517822265625,261.6337585449219
241,1,712.2144775390625,585.7010498046875,138.3914794921875,263.09771728515625
242,1,696.546630859375,585.6453247070312,145.59112548828125,263.3598327636719
243,1,681.7144165039062,584.8817138671875,152.48876953125,263.53863525390625
244,1,667.591552734375,584.36279296875,164.79095458984375,264.8221435546875
245,1,657.8453369140625,583.5479125976562,169.197265625,266.5212707519531
246,1,649.405517578125,583.2289428710938,168.172119140625,268.9302062988281
247,1,639.3642578125,582.543212890625,168.042236328125,270.3341064453125
248,1,625.4757080078125,581.033447265625,169.95599365234375,269.3358764648437
249,1,607.2731323242188,580.3790893554688,174.371826171875,268.609130859375
250,1,586.8323974609375,580.2681274414062,171.97149658203125,266.8970031738281
251,1,565.8763427734375,580.2957153320312,169.81378173828125,263.5289306640625
252,1,547.748291015625,581.937744140625,174.322265625,256.8216552734375
253,1,535.4578247070312,582.11474609375,173.19393920898438,254.59280395507807
254,1,524.9730224609375,581.2442016601562,179.40988159179688,260.3756103515625
255,1,516.7952880859375,590.2322998046875,191.4004821777344,248.27200317382807
256,1,509.7813720703125,596.690185546875,206.3531188964844,236.92160034179688
257,1,505.0916137695313,602.7657470703125,217.2520446777344,227.515380859375
261,1,481.63427734375,610.1456909179688,264.1770324707031,217.2132873535156
262,1,473.93011474609375,613.4714965820312,280.7364807128906,211.2826232910156
263,1,462.0044555664063,615.1548461914062,291.5525207519531,208.716064453125
268,1,426.2822265625,609.62744140625,316.8778991699219,220.07904052734372
269,1,423.5060424804688,608.6707763671875,324.8492736816406,221.55389404296875
270,1,421.0006713867188,608.4847412109375,333.4805908203125,221.77767944335935
271,1,418.01019287109375,608.509033203125,343.8523864746094,221.48638916015625
272,1,419.3264465332031,608.765380859375,345.66949462890625,220.67092895507807
273,1,419.6415100097656,608.3458251953125,344.61846923828125,221.16314697265625
274,1,421.0725402832031,608.4786376953125,340.3529663085937,220.86422729492188
275,1,422.6858215332031,607.656982421875,334.68231201171875,222.3568115234375
276,1,426.84954833984375,604.6578979492188,325.5865478515625,225.508056640625
277,1,430.0052490234375,602.5657958984375,315.9205017089844,227.67388916015625
278,1,429.3995666503906,602.1640014648438,300.06170654296875,229.31735229492188
279,1,432.0838317871094,598.8876953125,286.45562744140625,236.60662841796875
280,1,437.1053466796875,594.2247924804688,276.5580139160156,246.318115234375
281,1,443.14349365234375,589.752197265625,262.6193542480469,254.76986694335935
282,1,452.6962890625,584.4525146484375,250.40432739257807,265.6644287109375
283,1,465.6432800292969,579.3441162109375,236.37127685546875,274.4034118652344
284,1,479.0604248046875,576.3372802734375,226.2786865234375,282.15936279296875
285,1,490.25537109375,572.6709594726562,221.2684631347656,289.0623474121094
286,1,500.3944396972656,569.0858764648438,211.29119873046875,296.9682312011719
287,1,506.32220458984375,564.987548828125,202.25015258789065,302.93194580078125
288,1,513.74658203125,560.4855346679688,193.07745361328125,306.8458251953125
289,1,519.373046875,555.7124633789062,186.95297241210935,310.593994140625
290,1,518.5523681640625,549.3104248046875,167.19134521484375,310.6268920898437
291,1,526.8348388671875,542.4759521484375,166.69149780273438,308.2981262207031
292,1,532.8942260742188,537.4765014648438,164.4552001953125,307.9917297363281
293,1,535.36572265625,534.0143432617188,155.80352783203125,309.5165710449219
294,1,537.68798828125,531.4992065429688,148.95953369140625,313.4869384765625
295,1,541.2501831054688,528.44091796875,143.93896484375,319.3876342773437
296,1,548.1657104492188,525.4041137695312,149.10693359375,326.227783203125
297,1,556.6635131835938,523.7301635742188,155.34365844726562,330.8016662597656
298,1,562.93994140625,521.5289306640625,156.08587646484375,335.010986328125
299,1,569.1998291015625,518.939697265625,151.16070556640625,340.0447998046875
300,1,575.0504760742188,515.80078125,154.43521118164062,347.2566223144531
301,1,579.9755859375,512.2854614257812,158.25344848632812,353.1134338378906
302,1,584.7156372070312,506.8890380859375,156.93624877929688,356.9306945800781
303,1,589.1651611328125,496.5618896484375,158.78619384765625,353.9315185546875
304,1,593.9176635742188,485.3881530761719,161.9583740234375,349.10906982421875
305,1,599.8842163085938,473.2478942871094,160.52880859375,343.30645751953125
306,1,606.081298828125,459.6336975097656,160.3857421875,335.73345947265625
